Version ID,Class Name,Version,LOC,LOC_touched,Age,Revision number,Fix number,Author Number,LOC_added,MAX_LOC_added,AVG_LOC_added,churn,MAX_churn,Buggyness
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/ClassStrategy.java,0.9.0,112,112,17,2,0,1,112,112,56.0,112,112,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/DelegatingJoinable.java,0.9.0,125,125,17,2,0,1,125,125,62.5,125,125,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/Discriminator.java,0.9.0,411,419,17,3,0,2,415,383,138.33333333333334,411,383,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/DiscriminatorMappingInfo.java,0.9.0,173,173,17,2,0,1,173,173,86.5,173,173,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/DiscriminatorStrategy.java,0.9.0,69,73,17,3,0,2,71,69,23.666666666666668,69,69,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/Embeddable.java,0.9.0,82,86,17,3,0,2,84,82,28.0,82,82,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/FieldMapping.java,0.9.0,1010,1052,17,3,0,2,1031,1013,343.6666666666667,1016,1013,yes
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/FieldMappingInfo.java,0.9.0,329,329,17,2,0,1,329,329,164.5,329,329,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/FieldStrategy.java,0.9.0,244,264,17,3,0,2,254,245,84.66666666666667,246,245,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/JDBCColumnOrder.java,0.9.0,84,84,17,2,0,1,84,84,42.0,84,84,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/JDBCOrder.java,0.9.0,43,43,17,2,0,1,43,43,21.5,43,43,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/JDBCRelatedFieldOrder.java,0.9.0,69,69,17,2,0,1,69,69,34.5,69,69,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/JDBCValueOrder.java,0.9.0,64,64,17,2,0,1,64,64,32.0,64,64,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/JavaSQLTypes.java,0.9.0,161,173,17,3,0,2,167,161,55.666666666666664,161,161,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/Joinable.java,0.9.0,86,86,17,2,0,1,86,86,43.0,86,86,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/MappingDefaults.java,0.9.0,304,304,17,2,0,1,304,304,152.0,304,304,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/MappingDefaultsImpl.java,0.9.0,703,703,17,2,0,1,703,703,351.5,703,703,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/MappingInfo.java,0.9.0,1749,1765,17,4,0,1,1757,1748,439.25,1751,1748,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/MappingRepository.java,0.9.0,1179,1235,17,5,0,2,1207,1135,241.4,1181,1135,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/MappingStrategyInstaller.java,0.9.0,68,68,17,2,0,1,68,68,34.0,68,68,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/MappingTool.java,0.9.0,1122,1290,17,7,0,3,1206,1104,172.28571428571428,1138,1104,yes
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/MetaDataPlusMappingFactory.java,0.9.0,139,139,17,2,0,1,139,139,69.5,139,139,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/NoneMappingDefaults.java,0.9.0,163,163,17,2,0,1,163,163,81.5,163,163,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/NoneStrategyInstaller.java,0.9.0,60,60,17,2,0,1,60,60,30.0,60,60,no
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/PropertiesReverseCustomizer.java,0.9.0,231,231,17,2,0,1,231,231,115.5,231,231,no
