Key,Injected Version,Opening Version,Fixed Version, Affected Version List
BOOKKEEPER-686,4.2.0,4.2.2,4.2.2,[org.example.entities.Release@4c15e7fd]
BOOKKEEPER-688,4.2.0,4.2.2,4.2.3,[org.example.entities.Release@4c15e7fd]
BOOKKEEPER-698,4.2.1,4.3.0,4.3.0,[org.example.entities.Release@23986957, org.example.entities.Release@23f7d05d]
BOOKKEEPER-700,4.2.1,4.3.0,4.3.0,[org.example.entities.Release@23986957, org.example.entities.Release@23f7d05d]
BOOKKEEPER-708,4.2.2,4.3.0,4.2.3,[org.example.entities.Release@23f7d05d, org.example.entities.Release@1e730495]
BOOKKEEPER-709,4.2.1,4.3.0,4.3.0,[org.example.entities.Release@23986957, org.example.entities.Release@23f7d05d]
BOOKKEEPER-710,4.2.2,4.3.0,4.2.3,[org.example.entities.Release@23f7d05d, org.example.entities.Release@1e730495]
BOOKKEEPER-711,4.2.2,4.3.0,4.3.0,[org.example.entities.Release@23f7d05d]
BOOKKEEPER-712,4.2.1,4.3.0,4.3.0,[org.example.entities.Release@23986957]
BOOKKEEPER-714,4.2.2,4.3.0,4.2.3,[org.example.entities.Release@23f7d05d, org.example.entities.Release@1e730495]
BOOKKEEPER-719,4.2.1,4.3.0,4.3.0,[org.example.entities.Release@23986957, org.example.entities.Release@23f7d05d]
BOOKKEEPER-720,4.2.1,4.3.0,4.3.0,[org.example.entities.Release@23986957, org.example.entities.Release@23f7d05d]
BOOKKEEPER-724,4.2.2,4.2.3,4.2.3,[org.example.entities.Release@23f7d05d, org.example.entities.Release@1e730495]
BOOKKEEPER-725,4.2.2,4.2.3,4.2.3,[org.example.entities.Release@23f7d05d, org.example.entities.Release@1e730495]
BOOKKEEPER-726,4.2.2,4.2.3,4.2.3,[org.example.entities.Release@23f7d05d, org.example.entities.Release@1e730495]
BOOKKEEPER-727,4.2.2,4.2.3,4.2.3,[org.example.entities.Release@23f7d05d, org.example.entities.Release@1e730495]
BOOKKEEPER-728,4.2.2,4.2.3,4.2.3,[org.example.entities.Release@23f7d05d, org.example.entities.Release@1e730495]
BOOKKEEPER-729,4.2.2,4.2.3,4.2.3,[org.example.entities.Release@23f7d05d, org.example.entities.Release@1e730495]
BOOKKEEPER-730,4.2.2,4.2.3,4.2.3,[org.example.entities.Release@23f7d05d, org.example.entities.Release@1e730495]
BOOKKEEPER-731,4.2.2,4.2.3,4.2.3,[org.example.entities.Release@23f7d05d, org.example.entities.Release@1e730495]
BOOKKEEPER-739,4.3.0,4.2.3,4.3.1,[org.example.entities.Release@1e730495, org.example.entities.Release@7d3a22a9]
BOOKKEEPER-740,4.2.2,4.2.3,4.2.3,[org.example.entities.Release@23f7d05d, org.example.entities.Release@1e730495]
BOOKKEEPER-742,4.2.2,4.2.3,4.2.3,[org.example.entities.Release@23f7d05d, org.example.entities.Release@1e730495]
BOOKKEEPER-743,4.2.2,4.2.3,4.2.3,[org.example.entities.Release@23f7d05d, org.example.entities.Release@1e730495]
BOOKKEEPER-744,4.2.2,4.2.3,4.2.3,[org.example.entities.Release@23f7d05d, org.example.entities.Release@1e730495]
BOOKKEEPER-745,4.2.2,4.2.3,4.2.3,[org.example.entities.Release@23f7d05d, org.example.entities.Release@1e730495]
BOOKKEEPER-746,4.2.2,4.2.3,4.2.3,[org.example.entities.Release@23f7d05d, org.example.entities.Release@1e730495]
BOOKKEEPER-750,4.2.2,4.2.3,4.2.3,[org.example.entities.Release@23f7d05d, org.example.entities.Release@1e730495]
BOOKKEEPER-751,4.2.2,4.2.3,4.2.3,[org.example.entities.Release@23f7d05d, org.example.entities.Release@1e730495]
BOOKKEEPER-755,4.2.2,4.2.3,4.2.3,[org.example.entities.Release@23f7d05d, org.example.entities.Release@1e730495]
BOOKKEEPER-763,4.2.2,4.2.3,4.2.3,[org.example.entities.Release@23f7d05d, org.example.entities.Release@1e730495]
BOOKKEEPER-765,4.2.2,4.2.3,4.2.3,[org.example.entities.Release@23f7d05d, org.example.entities.Release@1e730495]
BOOKKEEPER-766,4.2.2,4.2.3,4.2.3,[org.example.entities.Release@23f7d05d, org.example.entities.Release@1e730495]
BOOKKEEPER-767,4.2.2,4.2.3,4.2.3,[org.example.entities.Release@23f7d05d, org.example.entities.Release@1e730495]
BOOKKEEPER-768,4.2.2,4.2.3,4.3.1,[org.example.entities.Release@23f7d05d]
BOOKKEEPER-769,4.2.2,4.2.3,4.4.0,[org.example.entities.Release@23f7d05d, org.example.entities.Release@1e730495, org.example.entities.Release@7d3a22a9, org.example.entities.Release@1d082e88, org.example.entities.Release@60704c]
BOOKKEEPER-774,4.3.0,4.3.1,4.3.1,[org.example.entities.Release@1e730495, org.example.entities.Release@7d3a22a9]
BOOKKEEPER-777,4.3.0,4.3.1,4.3.1,[org.example.entities.Release@1e730495, org.example.entities.Release@7d3a22a9]
BOOKKEEPER-778,4.3.0,4.3.1,4.3.1,[org.example.entities.Release@1e730495, org.example.entities.Release@7d3a22a9]
BOOKKEEPER-779,4.3.0,4.3.1,4.3.1,[org.example.entities.Release@1e730495, org.example.entities.Release@7d3a22a9]
BOOKKEEPER-780,4.3.0,4.3.1,4.3.1,[org.example.entities.Release@1e730495, org.example.entities.Release@7d3a22a9]
BOOKKEEPER-783,4.3.0,4.3.1,4.3.1,[org.example.entities.Release@1e730495, org.example.entities.Release@7d3a22a9]
BOOKKEEPER-784,4.3.0,4.3.1,4.3.1,[org.example.entities.Release@1e730495, org.example.entities.Release@7d3a22a9]
BOOKKEEPER-785,4.3.0,4.3.1,4.3.1,[org.example.entities.Release@1e730495, org.example.entities.Release@7d3a22a9]
BOOKKEEPER-786,4.3.0,4.3.1,4.3.1,[org.example.entities.Release@1e730495, org.example.entities.Release@7d3a22a9]
BOOKKEEPER-793,4.3.0,4.3.1,4.3.1,[org.example.entities.Release@1e730495, org.example.entities.Release@7d3a22a9]
BOOKKEEPER-794,4.2.3,4.3.1,4.4.0,[org.example.entities.Release@7d3a22a9, org.example.entities.Release@1d082e88, org.example.entities.Release@60704c]
BOOKKEEPER-795,4.3.0,4.3.1,4.3.1,[org.example.entities.Release@1e730495, org.example.entities.Release@7d3a22a9]
